Indicator,2020,2021,2022
Saudi ArabiaGDP,49045.411,49045.411,49045.411
SenegalDeaths,6.983,60.554,47.406
SenegalCases,407.354,2100.48,2458.899
SenegalGDP,2470.58,2470.58,2470.58
SerbiaDeaths,41.472,984.658,1303.212
SerbiaCases,2313.336,102132.314,187795.852
SerbiaGDP,14048.881,14048.881,14048.881
Sierra LeoneDeaths,53.636,4.412,3.132
Sierra LeoneCases,61147.629,470.02,254.009
Sierra LeoneGDP,1390.3,1390.3,1390.3
SingaporeDeaths,4.721,1.77,230.249
SingaporeCases,7718.046,3387.265,200584.113
SingaporeGDP,85535.383,85535.383,85535.383
SlovakiaDeaths,4.957,2210.88,1306.645
SlovakiaCases,293.613,137004.905,310831.227
SlovakiaGDP,30155.152,30155.152,30155.152
SloveniaDeaths,181.656,2033.168,1022.238
SloveniaCases,21836.574,120604.69,353949.332
SloveniaGDP,31400.84,31400.84,31400.84
Solomon IslandsDeaths,38.21,105.19,196.056
Solomon IslandsCases,24865.051,82097.37,20391.513
Solomon IslandsGDP,2205.923,2205.923,2205.923
SomaliaDeaths,21.684,38.99,33.297
SomaliaCases,9491.851,684.194,659.752
SomaliaGDP,,,
South KoreaDeaths,96.537,33.294,386.324
South KoreaCases,17947.037,2691.518,321881.846
South KoreaGDP,35938.374,35938.374,35938.374
South SudanDeaths,143.151,7.431,2.11
South SudanCases,171680.106,814.434,609.359
South SudanGDP,1569.888,1569.888,1569.888
SpainDeaths,610.912,1100.507,488.722
SpainCases,5464.722,75406.161,167783.078
SpainGDP,34272.36,34272.36,34272.36
Sri LankaDeaths,239.79,113.091,642.032
Sri LankaCases,37443.287,10693.679,19582.681
Sri LankaGDP,11669.077,11669.077,11669.077
SudanDeaths,23.405,48.003,46.762
SudanCases,539.789,610.289,548.761
SudanGDP,4466.507,4466.507,4466.507
SurinameDeaths,10.623,681.178,1452.964
SurinameCases,412.825,30534.916,97351.954
SurinameGDP,13767.119,13767.119,13767.119
SwedenDeaths,594.032,919.777,382.494
SwedenCases,8135.989,97837.783,133786.457
SwedenGDP,46949.283,46949.283,46949.283
SwitzerlandDeaths,400.864,1033.572,338.871
SwitzerlandCases,14516.61,76611.198,328115.152
SwitzerlandGDP,57410.166,57410.166,57410.166
SyriaDeaths,49.913,81.557,60.491
